Stats since: 1ns
---PROFILEDATA---
Flags,IntendedVsync,Vsync,OldestInputEvent,NewestInputEvent,HandleInputStart,AnimationStart,PerformTraversalsStart,DrawStart,SyncQueued,SyncStart,IssueDrawCommandsStart,SwapBuffers,FrameCompleted,
0,5020014311801,5020014311801,0,0,0,0,0,0,0,0,0,0,5020030978467,
0,5020143560542,5020143560542,0,0,0,0,0,0,0,0,0,0,5020160227208,
0,5020233830883,5020233830883,0,0,0,0,0,0,0,0,0,0,5020250497549,
0,5020364797536,5020364797536,0,0,0,0,0,0,0,0,0,0,5020381464202,
0,5020454715536,5020454715536,0,0,0,0,0,0,0,0,0,0,5020471382202,
0,5020583592934,5020583592934,0,0,0,0,0,0,0,0,0,0,5020600259600,
0,5020674135197,5020674135197,0,0,0,0,0,0,0,0,0,0,5020690801863,
0,5020804557875,5020804557875,0,0,0,0,0,0,0,0,0,0,5020821224541,
0,5020894804121,5020894804121,0,0,0,0,0,0,0,0,0,0,5020911470787,
0,5021023350055,5021023350055,0,0,0,0,0,0,0,0,0,0,5021040016721,
0,5021114119794,5021114119794,0,0,0,0,0,0,0,0,0,0,5021130786460,
0,5021244943312,5021244943312,0,0,0,0,0,0,0,0,0,0,5021261609978,
0,5021335267136,5021335267136,0,0,0,0,0,0,0,0,0,0,5021351933802,
0,5021463398862,5021463398862,0,0,0,0,0,0,0,0,0,0,5021480065528,
0,5021554463204,5021554463204,0,0,0,0,0,0,0,0,0,0,5021571129870,
0,5021683753505,5021683753505,0,0,0,0,0,0,0,0,0,0,5021700420171,
0,5021775031078,5021775031078,0,0,0,0,0,0,0,0,0,0,5021791697744,
0,5021904911166,5021904911166,0,0,0,0,0,0,0,0,0,0,5021921577832,
0,5021993368803,5021993368803,0,0,0,0,0,0,0,0,0,0,5022010035469,
0,5022123356777,5022123356777,0,0,0,0,0,0,0,0,0,0,5022140023443,
0,5022214171220,5022214171220,0,0,0,0,0,0,0,0,0,0,5022230837886,
0,5022343623878,5022343623878,0,0,0,0,0,0,0,0,0,0,5022360290544,
0,5022434345479,5022434345479,0,0,0,0,0,0,0,0,0,0,5022451012145,
0,5022564140046,5022564140046,0,0,0,0,0,0,0,0,0,0,5022580806712,
0,5022694376455,5022694376455,0,0,0,0,0,0,0,0,0,0,5022711043121,
0,5026873633719,5026873633719,5026715000000,5026715000000,0,0,0,0,0,0,0,0,5026890300385,
0,5026899364888,5026899364888,5026715000000,5026715000000,0,0,0,0,0,0,0,0,5026916031554,
0,5026929668878,5026929668878,5026715000000,5026715000000,0,0,0,0,0,0,0,0,5026946335544,
0,5028829031513,5028829031513,0,0,0,0,0,0,0,0,0,0,5028845698179,
0,5028960174390,5028960174390,0,0,0,0,0,0,0,0,0,0,5028976841056,
0,5029048528877,5029048528877,0,0,0,0,0,0,0,0,0,0,5029065195543,
0,5029178916630,5029178916630,0,0,0,0,0,0,0,0,0,0,5029195583296,
0,5029268633467,5029268633467,0,0,0,0,0,0,0,0,0,0,5029285300133,
0,5029400186283,5029400186283,0,0,0,0,0,0,0,0,0,0,5029416852949,
0,5029489032028,5029489032028,0,0,0,0,0,0,0,0,0,0,5029505698694,
0,5029619118716,5029619118716,0,0,0,0,0,0,0,0,0,0,5029635785382,
0,5029709747733,5029709747733,0,0,0,0,0,0,0,0,0,0,5029726414399,
0,5029838386883,5029838386883,0,0,0,0,0,0,0,0,0,0,5029855053549,
0,5029928600052,5029928600052,0,0,0,0,0,0,0,0,0,0,5029945266718,
0,5030058403359,5030058403359,0,0,0,0,0,0,0,0,0,0,5030075070025,
0,5030149626844,5030149626844,0,0,0,0,0,0,0,0,0,0,5030166293510,
0,5030279660794,5030279660794,0,0,0,0,0,0,0,0,0,0,5030296327460,
0,5030369686375,5030369686375,0,0,0,0,0,0,0,0,0,0,5030386353041,
0,5030499787636,5030499787636,0,0,0,0,0,0,0,0,0,0,5030516454302,
0,5030588830944,5030588830944,0,0,0,0,0,0,0,0,0,0,5030605497610,
0,5030718478686,5030718478686,0,0,0,0,0,0,0,0,0,0,5030735145352,
0,5030809011483,5030809011483,0,0,0,0,0,0,0,0,0,0,5030825678149,
0,5030940304322,5030940304322,0,0,0,0,0,0,0,0,0,0,5030956970988,
0,5031030035445,5031030035445,0,0,0,0,0,0,0,0,0,0,5031046702111,
0,5031158344637,5031158344637,0,0,0,0,0,0,0,0,0,0,5031175011303,
0,5031248773052,5031248773052,0,0,0,0,0,0,0,0,0,0,5031265439718,
0,5031380098344,5031380098344,0,0,0,0,0,0,0,0,0,0,5031396765010,
0,5031469856572,5031469856572,0,0,0,0,0,0,0,0,0,0,5031486523238,
0,5031598459910,5031598459910,0,0,0,0,0,0,0,0,0,0,5031615126576,
0,5035778718406,5035778718406,5035620000000,5035620000000,0,0,0,0,0,0,0,0,5035795385072,
0,5035804445512,5035804445512,5035620000000,5035620000000,0,0,0,0,0,0,0,0,5035821112178,
0,5035834840782,5035834840782,5035620000000,5035620000000,0,0,0,0,0,0,0,0,5035851507448,
0,5037734838213,5037734838213,0,0,0,0,0,0,0,0,0,0,5037751504879,
Stats since: 1ns
---PROFILEDATA---
Flags,IntendedVsync,Vsync,OldestInputEvent,NewestInputEvent,HandleInputStart,AnimationStart,PerformTraversalsStart,DrawStart,SyncQueued,SyncStart,IssueDrawCommandsStart,SwapBuffers,FrameCompleted,
0,5028829031513,5028829031513,0,0,0,0,0,0,0,0,0,0,5028845698179,
0,5028960174390,5028960174390,0,0,0,0,0,0,0,0,0,0,5028976841056,
0,5029048528877,5029048528877,0,0,0,0,0,0,0,0,0,0,5029065195543,
0,5029178916630,5029178916630,0,0,0,0,0,0,0,0,0,0,5029195583296,
0,5029268633467,5029268633467,0,0,0,0,0,0,0,0,0,0,5029285300133,
0,5029400186283,5029400186283,0,0,0,0,0,0,0,0,0,0,5029416852949,
0,5029489032028,5029489032028,0,0,0,0,0,0,0,0,0,0,5029505698694,
0,5029619118716,5029619118716,0,0,0,0,0,0,0,0,0,0,5029635785382,
0,5029709747733,5029709747733,0,0,0,0,0,0,0,0,0,0,5029726414399,
0,5029838386883,5029838386883,0,0,0,0,0,0,0,0,0,0,5029855053549,
0,5029928600052,5029928600052,0,0,0,0,0,0,0,0,0,0,5029945266718,
0,5030058403359,5030058403359,0,0,0,0,0,0,0,0,0,0,5030075070025,
0,5030149626844,5030149626844,0,0,0,0,0,0,0,0,0,0,5030166293510,
0,5030279660794,5030279660794,0,0,0,0,0,0,0,0,0,0,5030296327460,
0,5030369686375,5030369686375,0,0,0,0,0,0,0,0,0,0,5030386353041,
0,5030499787636,5030499787636,0,0,0,0,0,0,0,0,0,0,5030516454302,
0,5030588830944,5030588830944,0,0,0,0,0,0,0,0,0,0,5030605497610,
0,5030718478686,5030718478686,0,0,0,0,0,0,0,0,0,0,5030735145352,
0,5030809011483,5030809011483,0,0,0,0,0,0,0,0,0,0,5030825678149,
0,5030940304322,5030940304322,0,0,0,0,0,0,0,0,0,0,5030956970988,
0,5031030035445,5031030035445,0,0,0,0,0,0,0,0,0,0,5031046702111,
0,5031158344637,5031158344637,0,0,0,0,0,0,0,0,0,0,5031175011303,
0,5031248773052,5031248773052,0,0,0,0,0,0,0,0,0,0,5031265439718,
0,5031380098344,5031380098344,0,0,0,0,0,0,0,0,0,0,5031396765010,
0,5031469856572,5031469856572,0,0,0,0,0,0,0,0,0,0,5031486523238,
0,5031598459910,5031598459910,0,0,0,0,0,0,0,0,0,0,5031615126576,
0,5035778718406,5035778718406,5035620000000,5035620000000,0,0,0,0,0,0,0,0,5035795385072,
0,5035804445512,5035804445512,5035620000000,5035620000000,0,0,0,0,0,0,0,0,5035821112178,
0,5035834840782,5035834840782,5035620000000,5035620000000,0,0,0,0,0,0,0,0,5035851507448,
0,5037734838213,5037734838213,0,0,0,0,0,0,0,0,0,0,5037751504879,
0,5037825029230,5037825029230,0,0,0,0,0,0,0,0,0,0,5037841695896,
0,5037954503292,5037954503292,0,0,0,0,0,0,0,0,0,0,5037971169958,
0,5038044088930,5038044088930,0,0,0,0,0,0,0,0,0,0,5038060755596,
0,5038173529673,5038173529673,0,0,0,0,0,0,0,0,0,0,5038190196339,
0,5038264916666,5038264916666,0,0,0,0,0,0,0,0,0,0,5038281583332,
0,5038394312466,5038394312466,0,0,0,0,0,0,0,0,0,0,5038410979132,
0,5038484772876,5038484772876,0,0,0,0,0,0,0,0,0,0,5038501439542,
0,5038613410173,5038613410173,0,0,0,0,0,0,0,0,0,0,5038630076839,
0,5038703417352,5038703417352,0,0,0,0,0,0,0,0,0,0,5038720084018,
0,5038834440385,5038834440385,0,0,0,0,0,0,0,0,0,0,5038851107051,
0,5038923789949,5038923789949,0,0,0,0,0,0,0,0,0,0,5038940456615,
0,5039054911499,5039054911499,0,0,0,0,0,0,0,0,0,0,5039071578165,
0,5039144655557,5039144655557,0,0,0,0,0,0,0,0,0,0,5039161322223,
0,5039274823106,5039274823106,0,0,0,0,0,0,0,0,0,0,5039291489772,
0,5039365282132,5039365282132,0,0,0,0,0,0,0,0,0,0,5039381948798,
0,5039494327915,5039494327915,0,0,0,0,0,0,0,0,0,0,5039510994581,
0,5039583451159,5039583451159,0,0,0,0,0,0,0,0,0,0,5039600117825,
0,5039713913751,5039713913751,0,0,0,0,0,0,0,0,0,0,5039730580417,
0,5039804307126,5039804307126,0,0,0,0,0,0,0,0,0,0,5039820973792,
0,5039934532249,5039934532249,0,0,0,0,0,0,0,0,0,0,5039951198915,
0,5040024691429,5040024691429,0,0,0,0,0,0,0,0,0,0,5040041358095,
0,5040154877271,5040154877271,0,0,0,0,0,0,0,0,0,0,5040171543937,
0,5040244320646,5040244320646,0,0,0,0,0,0,0,0,0,0,5040260987312,
0,5040374914203,5040374914203,0,0,0,0,0,0,0,0,0,0,5040391580869,
0,5040504165197,5040504165197,0,0,0,0,0,0,0,0,0,0,5040520831863,
0,5044683598544,5044683598544,5044525000000,5044525000000,0,0,0,0,0,0,0,0,5044700265210,
0,5044708824385,5044708824385,5044525000000,5044525000000,0,0,0,0,0,0,0,0,5044725491051,
0,5044738942016,5044738942016,5044525000000,5044525000000,0,0,0,0,0,0,0,0,5044755608682,
0,5046639522397,5046639522397,0,0,0,0,0,0,0,0,0,0,5046656189063,
0,5046768395780,5046768395780,0,0,0,0,0,0,0,0,0,0,5046785062446,
0,5046858599646,5046858599646,0,0,0,0,0,0,0,0,0,0,5046875266312,
0,5046988697416,5046988697416,0,0,0,0,0,0,0,0,0,0,5047005364082,
0,5047079147842,5047079147842,0,0,0,0,0,0,0,0,0,0,5047095814508,
0,5047208496876,5047208496876,0,0,0,0,0,0,0,0,0,0,5047225163542,
0,5047298826037,5047298826037,0,0,0,0,0,0,0,0,0,0,5047315492703,
0,5047428870342,5047428870342,0,0,0,0,0,0,0,0,0,0,5047445537008,
0,5047518662290,5047518662290,0,0,0,0,0,0,0,0,0,0,5047535328956,
0,5047648839046,5047648839046,0,0,0,0,0,0,0,0,0,0,5047665505712,
0,5047738941636,5047738941636,0,0,0,0,0,0,0,0,0,0,5047755608302,
0,5047868941216,5047868941216,0,0,0,0,0,0,0,0,0,0,5047885607882,
0,5047959400516,5047959400516,0,0,0,0,0,0,0,0,0,0,5047976067182,
0,5048089169513,5048089169513,0,0,0,0,0,0,0,0,0,0,5048105836179,
0,5048178875542,5048178875542,0,0,0,0,0,0,0,0,0,0,5048195542208,
0,5048308809012,5048308809012,0,0,0,0,0,0,0,0,0,0,5048325475678,
0,5048398945726,5048398945726,0,0,0,0,0,0,0,0,0,0,5048415612392,
0,5048529359248,5048529359248,0,0,0,0,0,0,0,0,0,0,5048546025914,
0,5048620127555,5048620127555,0,0,0,0,0,0,0,0,0,0,5048636794221,
0,5048750173056,5048750173056,0,0,0,0,0,0,0,0,0,0,5048766839722,
0,5048839948995,5048839948995,0,0,0,0,0,0,0,0,0,0,5048856615661,
0,5048970089091,5048970089091,0,0,0,0,0,0,0,0,0,0,5048986755757,
0,5049059221513,5049059221513,0,0,0,0,0,0,0,0,0,0,5049075888179,
0,5049189506226,5049189506226,0,0,0,0,0,0,0,0,0,0,5049206172892,
0,5049279594296,5049279594296,0,0,0,0,0,0,0,0,0,0,5049296260962,
0,5049409867159,5049409867159,0,0,0,0,0,0,0,0,0,0,5049426533825,
