point_id,carrier,time_band,profile_id,attempted,valid,valid_low_confidence,invalid,unknown,valid_rate,below_min_rate,reasons,mixed_campaigns,synthetic
SYNTH-P03,cmcc,idle,s1_chat,15,12,1,2,0,0.8666666666666667,False,CLOCK_OFFSET_SUSPECT:2,,True
SYNTH-P03,cmcc,idle,s2_coding_agent,15,13,1,1,0,0.9333333333333333,False,PROFILE_MISMATCH:1;RETRY_EXHAUSTED:1,,True
SYNTH-P03,cmcc,idle,s3_multimodal,15,13,1,1,0,0.9333333333333333,False,CLOCK_OFFSET_SUSPECT:1,,True
SYNTH-P03,cucc,busy,s1_chat,15,10,3,2,0,0.8666666666666667,False,CLOCK_OFFSET_SUSPECT:1;STREAM_ABORTED:1,,True
SYNTH-P03,cucc,busy,s2_coding_agent,15,13,1,1,0,0.9333333333333333,False,PROFILE_MISMATCH:1;RETRY_EXHAUSTED:1,,True
SYNTH-P03,cucc,busy,s3_multimodal,15,13,2,0,0,1.0,False,,,True
SYNTH-P03,cucc,idle,s1_chat,15,13,0,2,0,0.8666666666666667,False,CLOCK_OFFSET_SUSPECT:1;PROFILE_MISMATCH:1;RETRY_EXHAUSTED:1,,True
SYNTH-P03,cucc,idle,s2_coding_agent,15,12,3,0,0,1.0,False,,,True
SYNTH-P03,cucc,idle,s3_multimodal,15,11,4,0,0,1.0,False,,,True
SYNTH-P04,cmcc,busy,s1_chat,15,10,4,1,0,0.9333333333333333,False,CLOCK_OFFSET_SUSPECT:1,,True
SYNTH-P04,cmcc,busy,s2_coding_agent,15,10,2,3,0,0.8,False,CLOCK_OFFSET_SUSPECT:2;STREAM_ABORTED:1,,True
SYNTH-P04,cmcc,busy,s3_multimodal,15,12,1,2,0,0.8666666666666667,False,STREAM_ABORTED:2,,True
SYNTH-P04,cmcc,idle,s1_chat,15,12,1,2,0,0.8666666666666667,False,CLOCK_OFFSET_SUSPECT:1;STREAM_ABORTED:1,,True
SYNTH-P04,cmcc,idle,s2_coding_agent,15,15,0,0,0,1.0,False,,,True
SYNTH-P04,cmcc,idle,s3_multimodal,15,13,2,0,0,1.0,False,,,True
SYNTH-P04,cucc,busy,s1_chat,15,11,3,1,0,0.9333333333333333,False,PROFILE_MISMATCH:1;RETRY_EXHAUSTED:1,,True
SYNTH-P04,cucc,busy,s2_coding_agent,15,14,0,1,0,0.9333333333333333,False,STREAM_ABORTED:1,,True
SYNTH-P04,cucc,busy,s3_multimodal,15,12,1,2,0,0.8666666666666667,False,CLOCK_OFFSET_SUSPECT:1;PROFILE_MISMATCH:1;RETRY_EXHAUSTED:1,,True
SYNTH-P04,cucc,idle,s1_chat,15,13,0,2,0,0.8666666666666667,False,PROFILE_MISMATCH:2;RETRY_EXHAUSTED:2,,True
SYNTH-P04,cucc,idle,s2_coding_agent,15,11,2,2,0,0.8666666666666667,False,STREAM_ABORTED:2,,True
SYNTH-P04,cucc,idle,s3_multimodal,15,13,2,0,0,1.0,False,,,True
SYNTH-P05,cmcc,busy,s1_chat,15,13,0,2,0,0.8666666666666667,False,STREAM_ABORTED:2,,True
SYNTH-P05,cmcc,busy,s2_coding_agent,15,12,2,1,0,0.9333333333333333,False,STREAM_ABORTED:1,,True
SYNTH-P05,cmcc,busy,s3_multimodal,15,14,1,0,0,1.0,False,,,True
SYNTH-P05,cmcc,idle,s1_chat,15,15,0,0,0,1.0,False,,,True
SYNTH-P05,cmcc,idle,s2_coding_agent,15,13,2,0,0,1.0,False,,,True
SYNTH-P05,cmcc,idle,s3_multimodal,15,12,3,0,0,1.0,False,,,True
SYNTH-P05,cucc,busy,s1_chat,15,11,2,2,0,0.8666666666666667,False,PROFILE_MISMATCH:2;RETRY_EXHAUSTED:2,,True
SYNTH-P05,cucc,busy,s2_coding_agent,15,13,1,1,0,0.9333333333333333,False,CLOCK_OFFSET_SUSPECT:1,,True
SYNTH-P05,cucc,busy,s3_multimodal,15,15,0,0,0,1.0,False,,,True
SYNTH-P05,cucc,idle,s1_chat,15,11,3,1,0,0.9333333333333333,False,PROFILE_MISMATCH:1;RETRY_EXHAUSTED:1,,True
SYNTH-P05,cucc,idle,s2_coding_agent,15,12,2,1,0,0.9333333333333333,False,CLOCK_OFFSET_SUSPECT:1,,True
SYNTH-P05,cucc,idle,s3_multimodal,15,13,1,1,0,0.9333333333333333,False,STREAM_ABORTED:1,,True
SYNTH-P06,cmcc,busy,s1_chat,15,14,1,0,0,1.0,False,,,True
SYNTH-P06,cmcc,busy,s2_coding_agent,15,13,1,1,0,0.9333333333333333,False,CLOCK_OFFSET_SUSPECT:1,,True
SYNTH-P06,cmcc,busy,s3_multimodal,15,13,1,1,0,0.9333333333333333,False,CLOCK_OFFSET_SUSPECT:1,,True
SYNTH-P06,cmcc,idle,s1_chat,15,11,3,1,0,0.9333333333333333,False,STREAM_ABORTED:1,,True
SYNTH-P06,cmcc,idle,s2_coding_agent,15,9,3,3,0,0.8,False,CLOCK_OFFSET_SUSPECT:3,,True
SYNTH-P06,cmcc,idle,s3_multimodal,15,12,1,2,0,0.8666666666666667,False,CLOCK_OFFSET_SUSPECT:1;STREAM_ABORTED:1,,True
SYNTH-P06,cucc,busy,s1_chat,15,13,2,0,0,1.0,False,,,True
SYNTH-P06,cucc,busy,s2_coding_agent,15,13,2,0,0,1.0,False,,,True
SYNTH-P06,cucc,busy,s3_multimodal,15,13,2,0,0,1.0,False,,,True
SYNTH-P06,cucc,idle,s1_chat,15,12,1,2,0,0.8666666666666667,False,CLOCK_OFFSET_SUSPECT:1;PROFILE_MISMATCH:1;RETRY_EXHAUSTED:1,,True
SYNTH-P06,cucc,idle,s2_coding_agent,15,14,1,0,0,1.0,False,,,True
SYNTH-P06,cucc,idle,s3_multimodal,15,14,1,0,0,1.0,False,,,True
SYNTH-P07,cmcc,busy,s1_chat,15,11,4,0,0,1.0,False,,,True
SYNTH-P07,cmcc,busy,s2_coding_agent,15,12,1,2,0,0.8666666666666667,False,CLOCK_OFFSET_SUSPECT:1;STREAM_ABORTED:1,,True
SYNTH-P07,cmcc,busy,s3_multimodal,15,13,1,1,0,0.9333333333333333,False,CLOCK_OFFSET_SUSPECT:1,,True
SYNTH-P07,cmcc,idle,s1_chat,15,11,2,2,0,0.8666666666666667,False,CLOCK_OFFSET_SUSPECT:1;STREAM_ABORTED:1,,True
SYNTH-P07,cmcc,idle,s2_coding_agent,15,11,3,1,0,0.9333333333333333,False,CLOCK_OFFSET_SUSPECT:1,,True
SYNTH-P07,cmcc,idle,s3_multimodal,15,8,5,2,0,0.8666666666666667,False,CLOCK_OFFSET_SUSPECT:1;STREAM_ABORTED:1,,True
SYNTH-P07,cucc,busy,s1_chat,15,13,2,0,0,1.0,False,,,True
SYNTH-P07,cucc,busy,s2_coding_agent,15,12,3,0,0,1.0,False,,,True
SYNTH-P07,cucc,busy,s3_multimodal,15,11,3,1,0,0.9333333333333333,False,PROFILE_MISMATCH:1;RETRY_EXHAUSTED:1,,True
SYNTH-P07,cucc,idle,s1_chat,15,14,1,0,0,1.0,False,,,True
SYNTH-P07,cucc,idle,s2_coding_agent,15,12,2,1,0,0.9333333333333333,False,PROFILE_MISMATCH:1;RETRY_EXHAUSTED:1,,True
SYNTH-P07,cucc,idle,s3_multimodal,15,13,1,1,0,0.9333333333333333,False,PROFILE_MISMATCH:1;RETRY_EXHAUSTED:1,,True
SYNTH-P08,cmcc,busy,s1_chat,15,13,1,1,0,0.9333333333333333,False,STREAM_ABORTED:1,,True
SYNTH-P08,cmcc,busy,s2_coding_agent,15,13,2,0,0,1.0,False,,,True
SYNTH-P08,cmcc,busy,s3_multimodal,15,10,4,1,0,0.9333333333333333,False,PROFILE_MISMATCH:1;RETRY_EXHAUSTED:1,,True
SYNTH-P08,cmcc,idle,s1_chat,15,13,2,0,0,1.0,False,,,True
SYNTH-P08,cmcc,idle,s2_coding_agent,15,12,3,0,0,1.0,False,,,True
SYNTH-P08,cmcc,idle,s3_multimodal,15,14,1,0,0,1.0,False,,,True
SYNTH-P08,cucc,busy,s1_chat,15,13,2,0,0,1.0,False,,,True
SYNTH-P08,cucc,busy,s2_coding_agent,15,12,3,0,0,1.0,False,,,True
SYNTH-P08,cucc,busy,s3_multimodal,15,7,6,2,0,0.8666666666666667,False,PROFILE_MISMATCH:2;RETRY_EXHAUSTED:2,,True
SYNTH-P08,cucc,idle,s1_chat,15,13,2,0,0,1.0,False,,,True
SYNTH-P08,cucc,idle,s2_coding_agent,15,12,1,2,0,0.8666666666666667,False,CLOCK_OFFSET_SUSPECT:1;STREAM_ABORTED:1,,True
SYNTH-P08,cucc,idle,s3_multimodal,15,13,2,0,0,1.0,False,,,True
